Model,InputType,Dice,ASSD,HD95,ModelLabel
OG_baseline,native,0.9164260987466539,2.5763546258962347,11.980332747714874,0.8x0.8x0.8
OG_baseline,target,0.9068829348436704,3.52656428912562,15.075321707758741,0.8x0.8x0.8
OG_highres1,native,0.8318675608696026,6.055069243891156,26.769184042406323,0.64x0.64x0.64
OG_highres1,target,0.8289767934784693,10.006199586902955,42.37249109729449,0.64x0.64x0.64
OG_highres2,native,0.7572731625334788,inf,inf,0.53x0.53x0.53
OG_highres2,target,0.761477243625605,inf,inf,0.53x0.53x0.53
OG_lowres1,native,0.8805429387957743,3.30958496295674,18.28837825814884,1.06x1.06x1.06
OG_lowres1,target,0.8711915353494494,3.602938457260569,18.37575798853439,1.06x1.06x1.06
OG_lowres2,native,0.7444994646920151,inf,inf,1.6x1.6x1.6
OG_lowres2,target,0.7700989596212092,5.142099632087756,34.917684171037266,1.6x1.6x1.6
baseline,native,0.654291523073717,inf,inf,3.0x0.8x0.8
baseline,target,0.6495934671992348,inf,inf,3.0x0.8x0.8
highres0_5,native,0.77821978460819,5.245398323004603,22.401838327442334,2.25x0.7x0.7
highres0_5,target,0.7680984117414278,6.0075944233620575,25.87454340218607,2.25x0.7x0.7
highres1,native,0.8148520499675225,4.378952041248302,19.41860993100218,1.5x0.6x0.6
highres1,target,0.805807295586537,5.718497854062552,24.879416590691925,1.5x0.6x0.6
highres1_5,native,0.5752464279863458,inf,inf,1.25x0.5x0.5
highres1_5,target,0.5738928095101371,inf,inf,1.25x0.5x0.5
highres1_5_model_2000_vox,native,0.748190223037067,5.743666547683203,25.184530343377357,1.25x0.5x0.5 (2000 epochs)
highres2,native,0.26083111243624924,inf,inf,1.0x0.4x0.4
highres2,target,0.2657492551845189,inf,inf,1.0x0.4x0.4
